"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME"
"PGEL","PG Electroplast Limited","Mrs. Sarika Gupta","05-APR-2021 to 05-APR-2021","131806",,"171016","Reg29(2)","07-Apr-2021, 12-46"
"PGEL","PG Electroplast Limited","Mr. Vishal Gupta","05-APR-2021 to 05-APR-2021","65000",,"65000","Reg29(2)","07-Apr-2021, 12-46"
"PGEL","PG Electroplast Limited","Mr. Anurag Gupta","05-APR-2021 to 05-APR-2021","65000",,"65000","Reg29(2)","07-Apr-2021, 12-46"
"PGEL","PG Electroplast Limited","Mrs. Nitasha Gupta","05-APR-2021 to 05-APR-2021","110459",,"148959","Reg29(2)","07-Apr-2021, 12-46"
"PGEL","PG Electroplast Limited","Mr. Vikas Gupta*","05-APR-2021 to 05-APR-2021","65000",,"65000","Reg29(2)","07-Apr-2021, 12-46"
"PGEL","PG Electroplast Limited","Mrs. Neelu Gupta","05-APR-2021 to 05-APR-2021","86000",,"511000","Reg29(2)","07-Apr-2021, 12-46"
"PGEL","PG Electroplast Limited","Mr. Vikas Gupta*","05-APR-2021 to 05-APR-2021","35000",,"2847701","Reg29(2)","07-Apr-2021, 12-46"
"PGEL","PG Electroplast Limited","Mr. Vishal Gupta","05-APR-2021 to 05-APR-2021","35000",,"2851991","Reg29(2)","07-Apr-2021, 12-46"
"PGEL","PG Electroplast Limited","Mr. Anurag Gupta","05-APR-2021 to 05-APR-2021","35000",,"2461201","Reg29(2)","07-Apr-2021, 12-46"
"MEP","MEP Infrastructure Developers Limited","Sudha D. Mhaiskar","31-MAR-2021 to 31-MAR-2021","403921",,"21730688","Reg29(2)","07-Apr-2021, 12-42"
"THOMASCOOK","Thomas Cook  (India)  Limited","M/s Fairbridge Capital Mauritius Limited","02-APR-2021 to 02-APR-2021","435657000",,"435657000","Reg29(2)","07-Apr-2021, 12-42"
"THOMASCOOK","Thomas Cook  (India)  Limited","M/s Fairbridge Capital Mauritius Limited","02-APR-2021 to 02-APR-2021","0",,"248153725","Reg29(2)","07-Apr-2021, 12-42"
"KREBSBIO","Krebs Biochemicals and Industries Limited","Ipca Laboratories Limited","06-APR-2021 to 06-APR-2021",,,"10705195","Reg29(2)","07-Apr-2021, 12-40"
"KREBSBIO","Krebs Biochemicals and Industries Limited","Ipca Laboratories Limited","06-APR-2021 to 06-APR-2021",,,"0","Reg29(2)","07-Apr-2021, 12-40"
"SUVEN","Suven Life Sciences Limited","Jasti Property and Equity Holdings Private Ltd","02-APR-2021 to 02-APR-2021","18100000",,"18100000","Reg29(2)","07-Apr-2021, 12-40"
"SUVEN","Suven Life Sciences Limited","Jasti Property and Equity Holdings Private Ltd","02-APR-2021 to 02-APR-2021","0",,"76365000","Reg29(2)","07-Apr-2021, 12-40"
"WEWIN","WE WIN LIMITED","Pushpa Gupta","05-APR-2021 to 05-APR-2021","20200",,"30300","Reg29(2)","07-Apr-2021, 12-38"
"WEWIN","WE WIN LIMITED","Abhishek Gupta","05-APR-2021 to 05-APR-2021","1696180",,"2544270","Reg29(2)","07-Apr-2021, 12-38"
"WEWIN","WE WIN LIMITED","Sonika Gupta","05-APR-2021 to 05-APR-2021","2263800",,"3395700","Reg29(2)","07-Apr-2021, 12-38"
"SHRENIK","Shrenik Limited","Shrenik Vimawala","31-MAR-2021 to 31-MAR-2021",,"11500000","361409000","Reg29(2)","06-Apr-2021, 19-20"
"MITCON","MITCON Consultancy & Engineering Services Limited","Beesley Consultancy Private Limited","30-MAR-2021 to 01-APR-2021","572000",,"1497068","Reg29(1)","06-Apr-2021, 18-44"
"PROSEED","Proseed India Limited","Meenavalli Venkata Srinivas along with PAC","05-APR-2021 to 05-APR-2021",,,"0","Reg29(2)","06-Apr-2021, 18-44"
"NCLIND","NCL Industries Limited","Ashven Datla","25-MAR-2021 to 26-MAR-2021","30500",,"1689955","Reg29(2)","06-Apr-2021, 18-42"
"LAGNAM","Lagnam Spintex Limited","Kavita Mangal","22-MAR-2021 to 31-MAR-2021","21000",,"329000","Reg29(2)","06-Apr-2021, 09-14"
"LICHSGFIN","LIC Housing Finance Limited","ICICI Prudential Mutual Fund","31-MAR-2021 to 31-MAR-2021","236885",,"25405555","Reg29(1)","06-Apr-2021, 09-14"
"MAHICKRA","Mahickra Chemicals Limited","Ashishkumar Champaklal Gandhi","31-MAR-2021 to 31-MAR-2021","1500",,"1761623","Reg29(2)","05-Apr-2021, 23-30"
"RUCHI","Ruchi Soya Industries Limited","Yogakshen Sansthan along with PAC","31-MAR-2021 to 31-MAR-2021","0",,"292576299","Reg29(2)","05-Apr-2021, 23-30"
"RUCHI","Ruchi Soya Industries Limited","Yogakshem Sansthan along with PAC","31-MAR-2021 to 31-MAR-2021","0",,"292576299","Reg29(2)","05-Apr-2021, 23-28"
"AARTIIND","Aarti Industries Limited","Jasmine Family Trust","16-DEC-2020 to 31-MAR-2021","1375000",,"1375000","Reg29(2)","05-Apr-2021, 23-26"
"GMRINFRA","GMR Infrastructure Limited","GMR Enterprises Private Limited along with PAC","31-MAR-2021 to 31-MAR-2021",,"16500000","2925543150","Reg29(2)","05-Apr-2021, 23-26"
"GODREJAGRO","Godrej Agrovet Limited","Godrej Industries Limited","31-MAR-2021 to 31-MAR-2021","114916",,"115059634","Reg29(2)","05-Apr-2021, 23-24"
"GODREJAGRO","Godrej Agrovet Limited","Godrej Industries Limited","31-MAR-2021 to 31-MAR-2021","114916",,"115059634","Reg29(1)","05-Apr-2021, 23-22"
"BIL","Bhartiya International Limited","Rapid Estates Pvt Ltd","31-MAR-2021 to 31-MAR-2021","600500",,"790500","Reg29(1)","05-Apr-2021, 22-12"
"MITCON","MITCON Consultancy & Engineering Services Limited","BEESLEY CONSULTANCY PRIVATE LIMITED","30-MAR-2021 to 01-APR-2021","572000",,"1497068","Reg29(1)","05-Apr-2021, 21-12"
"UNITEDPOLY","United Polyfab Gujarat Limited","Mrs. Shilpa Gagan  Mittal and Mr. Gagan Nirmalkumar Mittal","31-MAR-2021 to 31-MAR-2021","81000",,"7586550","Reg29(2)","05-Apr-2021, 21-10"
"INFIBEAM","Infibeam Avenues Limited","Varini Patel","31-MAR-2021 to 31-MAR-2021",,"3055761","40944239","Reg29(2)","05-Apr-2021, 21-08"
"BHARATWIRE","Bharat Wire Ropes Limited","Murarilal Ramsukh Mittal along with PAC","30-MAR-2021 to 30-MAR-2021","5613636",,"23698494","Reg29(1)","05-Apr-2021, 17-06"
"SIKKO","Sikko Industries Limited","Pravinbhai Mohanbhai Kumbhani","31-MAR-2021 to 31-MAR-2021","0",,"8000000","Reg29(2)","05-Apr-2021, 17-04"
"WESTLIFE","Westlife Development Ltd","ICICI Prudential Life Insurance Co. Ltd","30-MAR-2021 to 30-MAR-2021","3258401",,"11141474","Reg29(2)","05-Apr-2021, 17-04"
"MMP","MMP Industries Limited","Ms. Rohini Arun Bhandari","01-APR-2021 to 01-APR-2021",,"12","224313","Reg29(2)","05-Apr-2021, 17-02"
"SIKKO","Sikko Industries Limited","Pravinbhai Mohanbhai Kumbhani","31-MAR-2021 to 31-MAR-2021",,"0","8000000","Reg29(2)","05-Apr-2021, 17-02"
"NAZARA","Nazara Technologies Limited","IIFL Asset Management Limited acting on behalf of all of the Schemes","30-MAR-2021 to 31-MAR-2021",,"748250","1066037","Reg29(2)","05-Apr-2021, 16-58"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance Limited","31-MAR-2021 to 31-MAR-2021","45000",,"9661612","Reg29(2)","05-Apr-2021, 16-38"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance Limited","31-MAR-2021 to 31-MAR-2021","0",,"4500000","Reg29(2)","05-Apr-2021, 16-38"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance Limited","30-MAR-2021 to 30-MAR-2021","0",,"4500000","Reg29(2)","05-Apr-2021, 16-36"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance Limited","30-MAR-2021 to 30-MAR-2021","33112",,"9616612","Reg29(2)","05-Apr-2021, 16-36"
"TALBROAUTO","Talbros Automotive Components Limited","Naresh Talwar","31-MAR-2021 to 31-MAR-2021","16712",,"562528","Reg29(2)","05-Apr-2021, 16-34"
"TALBROAUTO","Talbros Automotive Components Limited","Varun Talwar","31-MAR-2021 to 31-MAR-2021",,"16712","1273","Reg29(2)","05-Apr-2021, 16-34"
"TALBROAUTO","Talbros Automotive Components Limited","Kumkum Talwar","31-MAR-2021 to 31-MAR-2021","64949",,"515028","Reg29(2)","05-Apr-2021, 16-32"
"TALBROAUTO","Talbros Automotive Components Limited","Aliesha Talwar","31-MAR-2021 to 31-MAR-2021",,"23750","0","Reg29(2)","05-Apr-2021, 16-32"
"TALBROAUTO","Talbros Automotive Components Limited","Anannya Talwar","31-MAR-2021 to 31-MAR-2021",,"23750","0","Reg29(2)","05-Apr-2021, 16-32"
"TALBROAUTO","Talbros Automotive Components Limited","Varun Talwar","31-MAR-2021 to 31-MAR-2021",,"1273","0","Reg29(2)","05-Apr-2021, 16-32"
"TALBROAUTO","Talbros Automotive Components Limited","Vidur Talwar","31-MAR-2021 to 31-MAR-2021",,"16176","0","Reg29(2)","05-Apr-2021, 16-32"
"TALBROAUTO","Talbros Automotive Components Limited","Umesh Talwar","31-MAR-2021 to 31-MAR-2021","29030",,"375019","Reg29(1)","05-Apr-2021, 16-30"
"TALBROAUTO","Talbros Automotive Components Limited","Naresh Talwar","31-MAR-2021 to 31-MAR-2021","16712",,"562528","Reg29(1)","05-Apr-2021, 16-30"
"TALBROAUTO","Talbros Automotive Components Limited","Bimpi Talwar","31-MAR-2021 to 31-MAR-2021","33821",,"375018","Reg29(1)","05-Apr-2021, 16-30"
"TALBROAUTO","Talbros Automotive Components Limited","Kumkum Talwar","31-MAR-2021 to 31-MAR-2021","64949",,"515028","Reg29(1)","05-Apr-2021, 16-30"
"BATAINDIA","Bata India Limited","Life Insurance Corporation of India","29-JUL-2020 to 31-MAR-2021","2616233",,"10931762","Reg29(2)","05-Apr-2021, 16-26"
"CROMPTON","Crompton Greaves Consumer Electricals Limited","Genesis Investment Management, LLP","31-MAR-2021 to 31-MAR-2021",,"1131544","31152070","Reg29(2)","05-Apr-2021, 16-26"
"GALLISPAT","Gallantt Ispat Limited","Santosh Kumar Agrawal","30-MAR-2021 to 30-MAR-2021",,"2000000","207080","Reg29(2)","05-Apr-2021, 16-26"
"GALLANTT","Gallantt Metal Limited","Santosh Kumar Agrawal","30-MAR-2021 to 30-MAR-2021",,"2500000","105247","Reg29(2)","05-Apr-2021, 16-24"
"GALLISPAT","Gallantt Ispat Limited","Uma Agarwal","30-MAR-2021 to 30-MAR-2021",,"10500000","895810","Reg29(2)","05-Apr-2021, 16-24"
"TALBROAUTO","Talbros Automotive Components Limited","Bimpi Talwar","31-MAR-2021 to 31-MAR-2021","33821",,"375018","Reg29(2)","05-Apr-2021, 16-22"
"TALBROAUTO","Talbros Automotive Components Limited","Aliesha Talwar","31-MAR-2021 to 31-MAR-2021",,"23750","0","Reg29(2)","05-Apr-2021, 16-22"
"TALBROAUTO","Talbros Automotive Components Limited","Kwnkum Talwar","31-MAR-2021 to 31-MAR-2021","23750",,"515028","Reg29(2)","05-Apr-2021, 16-22"
"TALBROAUTO","Talbros Automotive Components Limited","Kumkum Talwar","31-MAR-2021 to 31-MAR-2021","16176",,"467528","Reg29(2)","05-Apr-2021, 16-22"
"TALBROAUTO","Talbros Automotive Components Limited","Vidur Talwar","31-MAR-2021 to 31-MAR-2021",,"16176","0","Reg29(2)","05-Apr-2021, 16-22"
"TALBROAUTO","Talbros Automotive Components Limited","Umesh Talwar","31-MAR-2021 to 31-MAR-2021","29030",,"375019","Reg29(2)","05-Apr-2021, 16-22"
"TALBROAUTO","Talbros Automotive Components Limited","Anuj Talwar","31-MAR-2021 to 31-MAR-2021",,"62851","0","Reg29(2)","05-Apr-2021, 16-22"
"TALBROAUTO","Talbros Automotive Components Limited","Kumkum Talwar","31-MAR-2021 to 31-MAR-2021","23750",,"491278","Reg29(2)","05-Apr-2021, 16-20"
"TALBROAUTO","Talbros Automotive Components Limited","Anannya Talwar","31-MAR-2021 to 31-MAR-2021",,"23750","0","Reg29(2)","05-Apr-2021, 16-20"
"TALBROAUTO","Talbros Automotive Components Limited","Kumkum Talwar","31-MAR-2021 to 31-MAR-2021","1273",,"451352","Reg29(2)","05-Apr-2021, 16-20"
"TALBROAUTO","Talbros Automotive Components Limited","Varun Talwar","31-MAR-2021 to 31-MAR-2021",,"17985","0","Reg29(2)","05-Apr-2021, 16-20"
"TALBROAUTO","Talbros Automotive Components Limited","Naresh Talwar","31-MAR-2021 to 31-MAR-2021","16712",,"562528","Reg29(2)","05-Apr-2021, 16-20"
"TALBROAUTO","Talbros Automotive Components Limited","Bimpi Talwar","31-MAR-2021 to 31-MAR-2021","33821",,"375018","Reg29(2)","05-Apr-2021, 16-18"
"TALBROAUTO","Talbros Automotive Components Limited","Anuj Talwar","31-MAR-2021 to 31-MAR-2021",,"33821","0","Reg29(2)","05-Apr-2021, 16-18"
"TALBROAUTO","Talbros Automotive Components Limited","Umesh Talwar","31-MAR-2021 to 31-MAR-2021","29030",,"375019","Reg29(2)","05-Apr-2021, 16-18"
"TALBROAUTO","Talbros Automotive Components Limited","Anuj Talwar","31-MAR-2021 to 31-MAR-2021",,"29030","33821","Reg29(2)","05-Apr-2021, 16-18"
"ASIANTILES","Asian Granito India Limited","Mukeshbhai J. Patel along with PAC","31-MAR-2021 to 31-MAR-2021","312000",,"5586084","Reg29(2)","02-Apr-2021, 06-00"
"ASIANTILES","Asian Granito India Limited","Mukeshbhai J. Patel along with PAC","31-MAR-2021 to 31-MAR-2021","0",,"133000","Reg29(2)","02-Apr-2021, 06-00"
"BHARATWIRE","Bharat Wire Ropes Limited","Authum Investment & Infrastructure Ltd.","01-APR-2021 to 01-APR-2021","4622253",,"15385632","Reg29(2)","02-Apr-2021, 06-00"
"GALLANTT","Gallantt Metal Limited","Chandra Prakash Agrawal","30-MAR-2021 to 30-MAR-2021","2500000",,"2800000","Reg29(2)","02-Apr-2021, 06-00"
"GALLISPAT","Gallantt Ispat Limited","Chandra Prakash Agrawal","30-MAR-2021 to 30-MAR-2021","12500000",,"64840040","Reg29(2)","02-Apr-2021, 06-00"
"GREENPLY","Greenply Industries Limited","Rajesh Mittal & Sons HUF","31-MAR-2021 to 31-MAR-2021","34200",,"156221","Reg29(2)","02-Apr-2021, 06-00"
"NBVENTURES","Nava Bharat Ventures Limited","Mr. D. Ashok as Promoter together with Promoter group","31-MAR-2021 to 31-MAR-2021",,,"71204301","Reg29(2)","02-Apr-2021, 06-00"
"GALLISPAT","Gallantt Ispat Limited","Prem Prakash Agrawal","30-MAR-2021 to 30-MAR-2021","120830",,"2712960","Reg29(2)","01-Apr-2021, 23-58"
"GALLISPAT","Gallantt Ispat Limited","Chandni Agrawal","30-MAR-2021 to 30-MAR-2021",,"120830","0","Reg29(2)","01-Apr-2021, 23-54"
"GNA","GNA Axles Limited","GNA Gears Limited","30-MAR-2021 to 31-MAR-2021","300",,"350","Reg29(2)","01-Apr-2021, 23-52"
"SURYODAY","Suryoday Small Finance Bank Limited","Universal Trusteeship Services Ltd","30-MAR-2021 to 30-MAR-2021",,,"11290000","Reg29(1)","01-Apr-2021, 23-52"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Overseas Private  Limited","31-MAR-2021 to 31-MAR-2021","50000",,"100000","Reg29(2)","01-Apr-2021, 23-50"
"KHANDSE","Khandwala Securities Limited","Paresh J  Khandwala","31-MAR-2021 to 31-MAR-2021","1340",,"181555","Reg29(2)","01-Apr-2021, 23-50"
"SHRENIK","Shrenik Limited","Rishit Vimawala","30-MAR-2021 to 31-MAR-2021",,"2772596","13258663","Reg29(2)","01-Apr-2021, 23-06"
"SHRENIK","Shrenik Limited","Kaivan Vimawala","30-MAR-2021 to 31-MAR-2021",,"140000","13205551","Reg29(2)","01-Apr-2021, 23-06"
"FCL","Fineotex Chemical Limited","Mrs. Aarti Jhunjhunwala","31-MAR-2021 to 31-MAR-2021","25000",,"25050","Reg29(2)","01-Apr-2021, 19-44"
"FCL","Fineotex Chemical Limited","Mr. Sanjay Tribrewala","31-MAR-2021 to 31-MAR-2021","70000",,"3283990","Reg29(2)","01-Apr-2021, 19-44"
"DEEPAKNTR","Deepak Nitrite Limited","Nippon Life India Asset Management Limited (formerly known as Reliance Capital Trustee Co Ltd) A/c through various schemes of Nippon india Mutual fund","30-MAR-2021 to 30-MAR-2021",,"164922","4701277","Reg29(2)","01-Apr-2021, 19-42"
"PATINTLOG","Patel Integrated Logistics Limited","Asgar Patel alongwith Promoters and PACs","31-MAR-2021 to 31-MAR-2021",,"50000","11344065","Reg29(2)","01-Apr-2021, 19-42"
"ALMONDZ","Almondz Global Securities Limited","Navjeet Singh Sobti (HUF)","31-MAR-2021 to 31-MAR-2021","4300",,"153581","Reg29(2)","01-Apr-2021, 15-22"
"BEARDSELL","Beardsell Limited","Bharat Anumolu","30-MAR-2021 to 30-MAR-2021",,"2223","3800694","Reg29(2)","01-Apr-2021, 15-22"
"SHALPAINTS","Shalimar Paints Limited","Hind Strategic Investments","30-MAR-2021 to 30-MAR-2021",,"2715012","3785430","Reg29(2)","01-Apr-2021, 15-22"
"SHALPAINTS","Shalimar Paints Limited","Mrs. Sarika Jhunjhunwala, Mrs. Shivang Jhunjhunwala, Mrs.Ritu Jhunjhunwala, Mr. Gaurang Jhunjhunwala","30-MAR-2021 to 30-MAR-2021","2715012",,"3067012","Reg29(2)","01-Apr-2021, 15-20"
"SUPREMEENG","Supreme Engineering Limited","Sanjay Chowdhri HUF","31-MAR-2021 to 31-MAR-2021",,"81439","5758561","Reg29(2)","01-Apr-2021, 14-00"
"JINDALSTEL","Jindal Steel & Power Limited","Opelina Sustainable Services Limited  along with PAC","31-MAR-2021 to 31-MAR-2021","110000",,"139410393","Reg29(2)","01-Apr-2021, 13-56"
"JSWENERGY","JSW Energy Limited","Catalyst Trusteeship Limited","26-MAR-2021 to 26-MAR-2021",,"44836000","29333000","Reg29(2)","01-Apr-2021, 13-56"
"NAZARA","Nazara Technologies Limited","Mr Rakesh Jhunjhunwala","30-MAR-2021 to 30-MAR-2021",,,"3294310","Reg29(1)","01-Apr-2021, 13-54"
"PVP","PVP Ventures Limited","Investment Opportunities V Pte. Limited","31-MAR-2021 to 31-MAR-2021","24505270",,"24505270","Reg29(1)","01-Apr-2021, 13-52"
"PVP","PVP Ventures Limited","SSG India Opportunities I Limited","31-MAR-2021 to 31-MAR-2021",,"24505270","0","Reg29(2)","01-Apr-2021, 13-52"
"GODREJCP","Godrej Consumer Products Limited","Mr Pirojsha Godrej","26-MAR-2021 to 26-MAR-2021","4",,"370129","Reg29(2)","01-Apr-2021, 13-44"
"JINDALSTEL","Jindal Steel & Power Limited","Nalwa Steel and Power Limited along with PAC","31-MAR-2021 to 31-MAR-2021",,"110000","1310000","Reg29(2)","01-Apr-2021, 13-44"
"GODREJCP","Godrej Consumer Products Limited","Pirojsha Godrej","26-MAR-2021 to 26-MAR-2021","4",,"370129","Reg29(1)","01-Apr-2021, 13-42"
"GODREJCP","Godrej Consumer Products Limited","Ms. Nisaba Godrej","26-MAR-2021 to 26-MAR-2021","4",,"370087","Reg29(2)","01-Apr-2021, 13-40"
"GODREJCP","Godrej Consumer Products Limited","Nisaba Godrej","26-MAR-2021 to 26-MAR-2021","4",,"370087","Reg29(1)","01-Apr-2021, 13-40"
"GODREJCP","Godrej Consumer Products Limited","Ms Tanya Dubash","26-MAR-2021 to 26-MAR-2021","4",,"66","Reg29(2)","01-Apr-2021, 13-38"
"VAIBHAVGBL","Vaibhav Global Limited","Brett Enterprises Private Limited","26-MAR-2021 to 26-MAR-2021","50000",,"18172764","Reg29(2)","01-Apr-2021, 13-38"
